Trace1,
Freq,,Amp,,
            82083158,Hz,              -67.06, dBm,
            82099824,Hz,              -67.03, dBm,
            82116490,Hz,              -66.90, dBm,
            82133156,Hz,              -66.66, dBm,
            82149822,Hz,              -66.29, dBm,
            82166488,Hz,              -65.88, dBm,
            82183154,Hz,              -65.69, dBm,
            82199820,Hz,              -65.64, dBm,
            82216486,Hz,              -65.57, dBm,
            82233152,Hz,              -65.46, dBm,
            82249818,Hz,              -65.20, dBm,
            82266484,Hz,              -64.83, dBm,
            82283150,Hz,              -64.62, dBm,
            82299816,Hz,              -64.45, dBm,
            82316482,Hz,              -64.19, dBm,
            82333148,Hz,              -63.93, dBm,
            82349814,Hz,              -63.63, dBm,
            82366480,Hz,              -63.31, dBm,
            82383146,Hz,              -63.15, dBm,
            82399812,Hz,              -63.04, dBm,
            82416478,Hz,              -62.84, dBm,
            82433144,Hz,              -62.67, dBm,
            82449810,Hz,              -62.50, dBm,
            82466476,Hz,              -62.29, dBm,
            82483142,Hz,              -62.14, dBm,
            82499808,Hz,              -61.83, dBm,
            82516474,Hz,              -61.11, dBm,
            82533140,Hz,              -60.38, dBm,
            82549806,Hz,              -59.50, dBm,
            82566472,Hz,              -58.17, dBm,
            82583138,Hz,              -57.05, dBm,
            82599804,Hz,              -55.80, dBm,
            82616470,Hz,              -54.15, dBm,
            82633136,Hz,              -53.05, dBm,
            82649802,Hz,              -52.15, dBm,
            82666468,Hz,              -51.45, dBm,
            82683134,Hz,              -51.33, dBm,
            82699800,Hz,              -51.62, dBm,
            82716466,Hz,              -52.52, dBm,
            82733132,Hz,              -53.55, dBm,
            82749798,Hz,              -54.73, dBm,
            82766464,Hz,              -56.37, dBm,
            82783130,Hz,              -57.49, dBm,
            82799796,Hz,              -58.44, dBm,
            82816462,Hz,              -59.56, dBm,
            82833128,Hz,              -60.28, dBm,
            82849794,Hz,              -60.85, dBm,
            82866460,Hz,              -61.42, dBm,
            82883126,Hz,              -61.73, dBm,
            82899792,Hz,              -61.99, dBm,
            82916458,Hz,              -62.31, dBm,
            82933124,Hz,              -62.51, dBm,
            82949790,Hz,              -62.60, dBm,
            82966456,Hz,              -62.68, dBm,
            82983122,Hz,              -62.78, dBm,
            82999788,Hz,              -62.96, dBm,
            83016454,Hz,              -63.27, dBm,
            83033120,Hz,              -63.51, dBm,
            83049786,Hz,              -63.75, dBm,
            83066452,Hz,              -64.13, dBm,
            83083118,Hz,              -64.50, dBm,
            83099784,Hz,              -64.90, dBm,
            83116450,Hz,              -65.34, dBm,
            83133116,Hz,              -65.52, dBm,
            83149782,Hz,              -65.51, dBm,
            83166448,Hz,              -65.35, dBm,
            83183114,Hz,              -65.29, dBm,
            83199780,Hz,              -65.44, dBm,
            83216446,Hz,              -65.94, dBm,
            83233112,Hz,              -66.51, dBm,
            83249778,Hz,              -67.02, dBm,
            83266444,Hz,              -67.40, dBm,
            83283110,Hz,              -67.46, dBm,
            83299776,Hz,              -67.48, dBm,
            83316442,Hz,              -67.63, dBm,
            83333108,Hz,              -67.83, dBm,
            83349774,Hz,              -68.05, dBm,
            83366440,Hz,              -68.31, dBm,
            83383106,Hz,              -68.49, dBm,
            83399772,Hz,              -68.76, dBm,
            83416438,Hz,              -69.26, dBm,
            83433104,Hz,              -69.66, dBm,
            83449770,Hz,              -69.97, dBm,
            83466436,Hz,              -70.31, dBm,
            83483102,Hz,              -70.53, dBm,
            83499768,Hz,              -70.80, dBm,
            83516434,Hz,              -71.17, dBm,
            83533100,Hz,              -71.37, dBm,
            83549766,Hz,              -71.49, dBm,
            83566432,Hz,              -71.60, dBm,
            83583098,Hz,              -71.70, dBm,
            83599764,Hz,              -71.85, dBm,
            83616430,Hz,              -72.20, dBm,
            83633096,Hz,              -72.49, dBm,
            83649762,Hz,              -72.71, dBm,
            83666428,Hz,              -72.82, dBm,
            83683094,Hz,              -72.90, dBm,
            83699760,Hz,              -73.09, dBm,
            83716426,Hz,              -73.42, dBm,
            83733092,Hz,              -73.61, dBm,
            83749758,Hz,              -73.65, dBm,
            83766424,Hz,              -73.64, dBm,
            83783090,Hz,              -73.76, dBm,
            83799756,Hz,              -74.06, dBm,
            83816422,Hz,              -74.60, dBm,
            83833088,Hz,              -75.03, dBm,
            83849754,Hz,              -75.43, dBm,
            83866420,Hz,              -75.82, dBm,
            83883086,Hz,              -75.97, dBm,
            83899752,Hz,              -76.03, dBm,
            83916418,Hz,              -76.12, dBm,
            83933084,Hz,              -76.21, dBm,
            83949750,Hz,              -76.32, dBm,
            83966416,Hz,              -76.49, dBm,
            83983082,Hz,              -76.65, dBm,
            83999748,Hz,              -76.73, dBm,
            84016414,Hz,              -76.77, dBm,
            84033080,Hz,              -76.78, dBm,
            84049746,Hz,              -76.80, dBm,
            84066412,Hz,              -76.89, dBm,
            84083078,Hz,              -76.99, dBm,
            84099744,Hz,              -77.16, dBm,
            84116410,Hz,              -77.47, dBm,
            84133076,Hz,              -77.79, dBm,
            84149742,Hz,              -78.03, dBm,
            84166408,Hz,              -78.11, dBm,
            84183074,Hz,              -78.03, dBm,
            84199740,Hz,              -77.93, dBm,
            84216406,Hz,              -77.98, dBm,
            84233072,Hz,              -78.11, dBm,
            84249738,Hz,              -78.21, dBm,
            84266404,Hz,              -78.31, dBm,
            84283070,Hz,              -78.44, dBm,
            84299736,Hz,              -78.54, dBm,
            84316402,Hz,              -78.69, dBm,
            84333068,Hz,              -78.90, dBm,
            84349734,Hz,              -79.15, dBm,
            84366400,Hz,              -79.35, dBm,
            84383066,Hz,              -79.36, dBm,
            84399732,Hz,              -79.36, dBm,
            84416398,Hz,              -79.42, dBm,
            84433064,Hz,              -79.44, dBm,
            84449730,Hz,              -79.44, dBm,
            84466396,Hz,              -79.46, dBm,
            84483062,Hz,              -79.50, dBm,
            84499728,Hz,              -79.61, dBm,
            84516394,Hz,              -79.87, dBm,
            84533060,Hz,              -80.07, dBm,
            84549726,Hz,              -80.05, dBm,
            84566392,Hz,              -79.97, dBm,
            84583058,Hz,              -79.93, dBm,
            84599724,Hz,              -79.97, dBm,
            84616390,Hz,              -80.09, dBm,
            84633056,Hz,              -80.21, dBm,
            84649722,Hz,              -80.35, dBm,
            84666388,Hz,              -80.53, dBm,
            84683054,Hz,              -80.65, dBm,
            84699720,Hz,              -80.69, dBm,
            84716386,Hz,              -80.74, dBm,
            84733052,Hz,              -80.79, dBm,
            84749718,Hz,              -80.89, dBm,
            84766384,Hz,              -81.05, dBm,
            84783050,Hz,              -81.16, dBm,
            84799716,Hz,              -81.27, dBm,
            84816382,Hz,              -81.37, dBm,
            84833048,Hz,              -81.42, dBm,
            84849714,Hz,              -81.40, dBm,
            84866380,Hz,              -81.43, dBm,
            84883046,Hz,              -81.58, dBm,
            84899712,Hz,              -81.86, dBm,
            84916378,Hz,              -82.30, dBm,
            84933044,Hz,              -82.54, dBm,
            84949710,Hz,              -82.64, dBm,
            84966376,Hz,              -82.64, dBm,
            84983042,Hz,              -82.59, dBm,
            84999708,Hz,              -82.55, dBm,
            85016374,Hz,              -82.52, dBm,
            85033040,Hz,              -82.52, dBm,
            85049706,Hz,              -82.55, dBm,
            85066372,Hz,              -82.62, dBm,
            85083038,Hz,              -82.67, dBm,
            85099704,Hz,              -82.69, dBm,
            85116370,Hz,              -82.67, dBm,
            85133036,Hz,              -82.61, dBm,
            85149702,Hz,              -82.58, dBm,
            85166368,Hz,              -82.58, dBm,
            85183034,Hz,              -82.56, dBm,
            85199700,Hz,              -82.54, dBm,
            85216366,Hz,              -82.57, dBm,
            85233032,Hz,              -82.64, dBm,
            85249698,Hz,              -82.72, dBm,
            85266364,Hz,              -82.81, dBm,
            85283030,Hz,              -82.88, dBm,
            85299696,Hz,              -82.96, dBm,
            85316362,Hz,              -83.10, dBm,
            85333028,Hz,              -83.25, dBm,
            85349694,Hz,              -83.36, dBm,
            85366360,Hz,              -83.47, dBm,
            85383026,Hz,              -83.52, dBm,
            85399692,Hz,              -83.55, dBm,
            85416358,Hz,              -83.57, dBm,
            85433024,Hz,              -83.55, dBm,
            85449690,Hz,              -83.56, dBm,
            85466356,Hz,              -83.66, dBm,
            85483022,Hz,              -83.76, dBm,
            85499688,Hz,              -83.83, dBm,
            85516354,Hz,              -83.83, dBm,
            85533020,Hz,              -83.77, dBm,
            85549686,Hz,              -83.71, dBm,
            85566352,Hz,              -83.66, dBm,
            85583018,Hz,              -83.64, dBm,
            85599684,Hz,              -83.63, dBm,
            85616350,Hz,              -83.64, dBm,
            85633016,Hz,              -83.68, dBm,
            85649682,Hz,              -83.71, dBm,
            85666348,Hz,              -83.74, dBm,
            85683014,Hz,              -83.73, dBm,
            85699680,Hz,              -83.73, dBm,
            85716346,Hz,              -83.74, dBm,
            85733012,Hz,              -83.76, dBm,
            85749678,Hz,              -83.77, dBm,
            85766344,Hz,              -83.77, dBm,
            85783010,Hz,              -83.78, dBm,
            85799676,Hz,              -83.82, dBm,
            85816342,Hz,              -83.91, dBm,
            85833008,Hz,              -83.98, dBm,
            85849674,Hz,              -84.04, dBm,
            85866340,Hz,              -84.09, dBm,
            85883006,Hz,              -84.12, dBm,
            85899672,Hz,              -84.13, dBm,
            85916338,Hz,              -84.13, dBm,
            85933004,Hz,              -84.14, dBm,
            85949670,Hz,              -84.15, dBm,
            85966336,Hz,              -84.15, dBm,
            85983002,Hz,              -84.14, dBm,
            85999668,Hz,              -84.11, dBm,
            86016334,Hz,              -84.08, dBm,
            86033000,Hz,              -84.08, dBm,
            86049666,Hz,              -84.12, dBm,
            86066332,Hz,              -84.17, dBm,
            86082998,Hz,              -84.22, dBm,
            86099664,Hz,              -84.26, dBm,
            86116330,Hz,              -84.30, dBm,
            86132996,Hz,              -84.31, dBm,
            86149662,Hz,              -84.28, dBm,
            86166328,Hz,              -84.19, dBm,
            86182994,Hz,              -84.11, dBm,
            86199660,Hz,              -84.06, dBm,
            86216326,Hz,              -84.05, dBm,
            86232992,Hz,              -84.08, dBm,
            86249658,Hz,              -84.10, dBm,
            86266324,Hz,              -84.13, dBm,
            86282990,Hz,              -84.17, dBm,
            86299656,Hz,              -84.25, dBm,
            86316322,Hz,              -84.37, dBm,
            86332988,Hz,              -84.44, dBm,
            86349654,Hz,              -84.46, dBm,
            86366320,Hz,              -84.46, dBm,
            86382986,Hz,              -84.44, dBm,
            86399652,Hz,              -84.41, dBm,
            86416318,Hz,              -84.37, dBm,
            86432984,Hz,              -84.36, dBm,
            86449650,Hz,              -84.36, dBm,
            86466316,Hz,              -84.38, dBm,
            86482982,Hz,              -84.38, dBm,
            86499648,Hz,              -84.37, dBm,
            86516314,Hz,              -84.38, dBm,
